AD,CAD,Ward,AG,Age,GN,Gender,NH,CH,CH_YN,PT,Pets,DG,CT,NumPets,DGO,CTO,PetOut,YUP,RO,Rent_Own,IC,Income,Income_Coll,DGR,Degree,Edu_Coll,NS,MM,MMT,DC,ConcernScore,DL,DK,MG,LK,PM,SK,KS,KSP,GAT21,GAT2021,GATPr,GATPrev,GATSm,NumSummers,Summ1,Summ2,Summ3,Summ4,Summ5,New GAT,CHM,CHMN,EC,EmptyConts,ECT,UD,Dunks,FP,KnowUPProg,UPD,WhatProgDo (Overall Score),Did They Check GAT?,BCI,BlockCapInt,BCH,BlockCapHelp,PE,PF,EffectFavScore,PC,OCT,IMC,IMC_Score,GATNo,NoGATReason,GATNoT,TOD,TimeOut,AOD,OutAct,OutActA,OutActB,OutActC,OutActD,OutActE,OutActF,OutActG,OutActH,NumOut,AODT,OOD,OtherOutA,OtherOutB,OtherOutC,OtherOutD,OtherOutE,OtherOutF,OtherOutG,NumOtherOut,OODT,UPF,KN,IN,IN_Coll,Gift card email,Other comments
,,,50 - 65,3,Female,2,2,0,No,Yes,1,0,2,2,0,0,0,3,Own,2,"Greater than $250,000",6,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,5,My backyard,,4,9,don't know for sure locally but yellow fever is problematic on other nations,0,stagnant water,1,"don't know the species but they are small flyers but still pesky, not the tiger mosquitos, although 3 years ago that was more a problem.",0,1,,Yes,1,Yes,1,"201,820,192,020",3,2018,2019,2020,,,Yes,No,0,"Yes, regularly",1,,Sometimes,#N/A,Yes,2,"Print education,GAT deployment efforts,Block-captain organizing",1,,Yes,2,Yes,2,4,5,9,"More volunteers to assist residents with mosquito control in their yards,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They make being outside unpleasant",2,NA (I have a GAT),,,2 - 4 hours,3,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,5,,"Birding,Hiking,Fishing,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel (such as visiting National Parks)","Birding,Hiking,Fishing,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel ",#REF!,,,,,,8,,Yes,Yes,Weekly,Weekly,,
,,,35 - 50,2,Male,1,2,0,No,Yes,1,,1,1,,0,0,3,Own,2,"$200,000 - $250,000",5,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,3,Near the creek,,4,7,West Nile Virus,1,Stagnant water,1,Tiger mosquito,1,3,,Yes,1,Yes,1,"201,820,192,020",3,2018,2019,2020,,,Yes,No,0,"Yes, regularly",1,,Yes,1,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,No,0,,#N/A,4,4,8,"Battery-powered or active traps,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,I want my community to be safe,They make being outside unpleasant",4,NA (I have a GAT),,,More than 8 hours per week,9,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,6,,"Birding,Hiking,Camping or backpacking,Outdoor-focused travel (such as visiting National Parks)","Birding,Hiking,Camping or backpacking,Outdoor-focused travel ",Birding,Hiking,Camping or backpacking,Outdoor-focused travel,,,4,,Yes,Yes,Weekly,Weekly,,
,,,50 - 65,3,Female,2,3,1,Yes,No,0,,,0,,,0,17,Own,2,"$200,000 - $250,000",5,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,5,My backyard,,4,9,Lyme's disease,0,stagnant water,1,don't know,0,1,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Yes, regularly",1,,,#N/A,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,No,0,,#N/A,3,3,6,"More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They make being outside unpleasant",3,Cost,It is too expensive,cost,2 - 4 hours,3,"Landscaping (such as lawn mowing),Gardening,Sitting in an outdoor space, such as a patio or porch","Landscaping ,Gardening,Sitting in an outdoor space, such as a patio or porch",Landscaping,Gardening,Sitting in an outdoor space,such as a patio or porch,,,,,4,,None,None,None,,,,,,1,,Yes,Yes,Weekly,Weekly,,
,,,65+,4,Male,1,2,0,No,No,0,,,0,,,0,26,Own,2,"$50,000 - $100,000",2,"Up to $100,000",Bachelor's Degree,4,Bachelor's degree or less,1,My backyard,,1,2,,0,warm stagnant water,1,Asian,0,1,,No,0,Yes,1,2017,1,2017,,,,,No,No,0,"Yes, regularly",1,,No,0,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing",1,,Yes,2,Somewhat,1,4,4,8,,,"I or another member of my household is irritated by mosquito bites,They make being outside unpleasant",2,I do not want to maintain it,I do not want to maintain it,,More than 8 hours per week,9,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home)","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects ",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,6,,"Hiking,Other outdoor activities (please describe)","Hiking,Other outdoor activities ",Hiking,Other outdoor activities,,,,,2,Visiting public gardens,Yes,Yes,Weekly,Weekly,,
,,,65+,4,Female,2,2,0,No,No,0,,,0,,,0,36,Own,2,"$50,000 - $100,000",2,"Up to $100,000",Graduate degree or professional degree,5,Graduate degree or professional degree,5,My backyard,,4,9,"West Nile virus, chikungunda? ",1,in standing water,1,Asian tiger,1,3,,No,0,Yes,1,2018,1,2018,,,,,Yes,No,0,"Sometimes, if I remember (enter approximately how often, if desired)",0,,I don't know what this is,#N/A,Somewhat,1,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring",1,,No,0,,#N/A,3,3,6,"Battery-powered or active traps,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,"I do not think it works,I do not want to maintain it,Other (please describe)",I do not think it works,We tried to use it and it didn't work; the instructions were confusing,1 - 2 hours,2,"Play with or supervise children playing outdoors,Exercise (including walks around the neighborhood)","Play with or supervise children playing outdoors,Exercise ",Play with or supervise children playing outdoors,Exercise,,,,,,,2,,Other outdoor activities (please describe),Other outdoor activities,Other outdoor activities,,,,,,1,cycling,Somewhat,Somewhat,Weekly,Weekly,,
,,,50 - 65,3,Male,1,2,0,No,Yes,1,0,2,2,0,0,0,8,Own,2,"$200,000 - $250,000",5,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,4,My backyard,,3,7,Malaria,0,Stagnant water,1,Asian tiger,1,2,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"No, never",0,,No,0,Somewhat,1,"Print education,GAT deployment efforts,Mosquito monitoring",1,,No,0,,#N/A,2,2,4,"Battery-powered or active traps,More town-sponsored distribution of GATs",,"I or another member of my household is irritated by mosquito bites,They make being outside unpleasant",2,Never asked,I do not know what it is,Never been asked,6- 8 hours,7,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood)","Landscaping ,Gardening,Exercise ",Landscaping,Gardening,Exercise,,,,,,3,,Outdoor-focused travel (such as visiting National Parks),Outdoor-focused travel,Outdoor-focused travel,,,,,,1,,Yes,Yes,Weekly,Weekly,,
,,,65+,4,Male,1,2,0,No,No,0,,,0,,,0,3,Own,2,"Greater than $250,000",6,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,1,Near the creek,,4,5,west nile,1,standing pools of water,1,tiger mosquito,0,3,,No,0,Yes,1,"201,620,172,018",3,2016,2017,2018,,,No,No,0,"Yes, regularly",1,,Yes,1,Somewhat,1,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Door-to-door canvassing",1,,No,0,,#N/A,2,3,5,"Battery-powered or active traps,More volunteers to assist residents with mosquito control in their yards,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,NA (I have a GAT),,,More than 8 hours per week,9,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home)","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects ",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,6,,"Birding,Hiking,Kayaking, canoeing, or other water sports","Birding,Hiking,Kayaking, canoeing, or other water sports",Birding,Hiking,Kayaking,canoeing,or other water sports,,5,,Yes,Somewhat,Daily,Daily,,
,,,65+,4,Female,2,2,0,No,No,0,,,0,,,0,,Own,2,,#N/A,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,2,Town Park,,4,6,West Nile,1,still water,1,Tiger mosquito,1,3,,Yes,1,Yes,1,"2,017,201,820,192,020",4,2017,2018,2019,2020,,No,Yes,1,"Yes, regularly",1,,,#N/A,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,Yes,2,4,4,8,"Town-wide chemical spray,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,I want my community to be safe,They make being outside unpleasant",4,NA (I have a GAT),,,More than 8 hours per week,9,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home)","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects ",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,6,,,,#VALUE!,,,,,,1,,Yes,Yes,Daily,Daily,,
,,,18 - 35,1,Male,1,5,0,No,No,0,,,0,,,0,2,Rent,1,"Less than $50,000",1,"Up to $100,000",Bachelor's Degree,4,Bachelor's degree or less,4,My backyard,,4,8,"Malaria, west Nile, others",1,Still stagnant water,1,Zebra type mosquito,0,2,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Yes, regularly",1,,I don't know what this is,#N/A,No,0,,1,,No,0,,#N/A,1,1,2,"Battery-powered or active traps,More volunteers to assist residents with mosquito control in their yards,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,I want my community to be safe,They make being outside unpleasant,Other (please describe)",5,Don't know what it is,I do not know what it is,What is that,4 -6 hours,5,"Sitting in an outdoor space, such as a patio or porch","Sitting in an outdoor space, such as a patio or porch",Sitting in an outdoor space,such as a patio or porch,,,,,,,2,,"Birding,Fishing","Birding,Fishing",Birding,Fishing,,,,,2,,No,No,Rarely,Monthly or less,,
,,,35 - 50,2,Male,1,2,0,No,Yes,1,2,,2,2,,2,4,Own,2,"$200,000 - $250,000",5,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,5,My backyard,,3,8,West Nile and maybe Zika,1,Stagnant water,1,"Tiger (it's black, with white and has stripes and is from Asia)",1,3,,Yes,1,Yes,1,"20,192,020",2,2019,2020,,,,Yes,No,0,"No, never",0,,Yes,1,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,Yes,2,5,5,10,"Battery-powered or active traps,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant,Other (please describe)",6,,,,2 - 4 hours,3,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home)","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects ",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,6,,"Hiking,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel (such as visiting National Parks)","Hiking,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel ",Hiking,Kayaking,canoeing,or other water sports,Camping or backpacking,Outdoor-focused travel,6,,Yes,Yes,Weekly,Weekly,,
,,,18 - 35,1,Female,2,6,0,No,No,0,,,0,,,0,1,Rent,1,"Less than $50,000",1,"Up to $100,000",Some college,2,Bachelor's degree or less,3,Near the creek,,1,4,i don’t know,0,i don’t know,0,i don’t know,0,0,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"No, never",0,,No,0,No,0,,1,,No,0,,#N/A,3,3,6,"More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,Don't know what it is,I do not know what it is,I don’t know what a GAT is,4 -6 hours,5,"Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Exercise ,Sitting in an outdoor space, such as a patio or porch",Exercise,Sitting in an outdoor space,such as a patio or porch,,,,,,3,,"Hiking,Kayaking, canoeing, or other water sports,Other outdoor activities (please describe)","Hiking,Kayaking, canoeing, or other water sports,Other outdoor activities ",Hiking,Kayaking,canoeing,or other water sports,Other outdoor activities,,5,sports,Yes,Somewhat,Weekly,Weekly,,
,,,50 - 65,3,Male,1,4,1,Yes,Yes,1,,1,1,,0,0,3,Own,2,"$100,000 - $150,000",3,"$100,000 - $200,000",Graduate degree or professional degree,5,Graduate degree or professional degree,4,My backyard,,5,9,"Dengue, west Nile, Zika",1,In standing water,1,Tiger mosquito,1,3,,No,0,Yes,1,2020,1,2020,,,,,Yes,Yes,1,"Yes, regularly",1,,Sometimes,#N/A,Yes,2,"Print education,GAT deployment efforts,Mosquito monitoring",1,,No,0,,#N/A,1,3,4,"Battery-powered or active traps,More volunteers to assist residents with mosquito control in their yards,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,I want my community to be safe,They make being outside unpleasant",4,"I do not think it works,Other (please describe)",I do not think it works,I have never found a mosquito using a GAT,More than 8 hours per week,9,"Play with or supervise children playing outdoors,Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home)","Play with or supervise children playing outdoors,Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects ",Play with or supervise children playing outdoors,Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,7,,"Hiking,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel (such as visiting National Parks)","Hiking,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel ",Hiking,Kayaking,canoeing,or other water sports,Camping or backpacking,Outdoor-focused travel,6,,Somewhat,Yes,Weekly,Weekly,,
,,,50 - 65,3,Female,2,4,0,No,Yes,1,,4 or 4+,0,,2,2,29,Own,2,"$200,000 - $250,000",5,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,4,My backyard,,3,7,I don't know,0,Standing water,1,I don't know,0,1,,No,0,Yes,1,2018,1,2018,,,,,Yes,No,0,"Yes, regularly",1,,No,0,Yes,2,"Print education,In-person education,GAT deployment efforts,Chemical-spraying,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",0,,Yes,2,Yes,2,2,3,5,"Town-wide chemical spray,More volunteers to assist residents with mosquito control in their yards,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They make being outside unpleasant",2,"I do not think it works,I do not want to maintain it,It does not fully eliminate mosquitoes from the yard",I do not think it works,,More than 8 hours per week,9,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home)","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects ",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,6,,"Hiking,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel (such as visiting National Parks)","Hiking,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel ",Hiking,Kayaking,canoeing,or other water sports,Camping or backpacking,Outdoor-focused travel,6,,Yes,Yes,Daily,Daily,,
,,,50 - 65,3,Female,2,2,0,No,Yes,1,0,3,3,0,0,0,11,Own,2,"Greater than $250,000",6,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,3,"Around town (not in a specific location, but not when I am in my own yard)",,2,5,Zika,0,In shallow water,1,Asia tigers,1,2,,Yes,1,Yes,1,"2016,2017,2018,2019,2020",5,2016,2017,2018,2019,2020,No,No,0,"Yes, regularly",1,,No,0,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing",1,,Yes,2,Somewhat,1,4,5,9,"Battery-powered or active traps,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,They make being outside unpleasant",4,NA (I have a GAT),,,More than 8 hours per week,9,"Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch",Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,,4,,"Hiking,Kayaking, canoeing, or other water sports","Hiking,Kayaking, canoeing, or other water sports",Hiking,Kayaking,canoeing,or other water sports,,,4,,Yes,Yes,Daily,Daily,,
,,,18 - 35,1,Female,2,2,0,No,Yes,1,1,,1,1,,1,4 months,Own,2,"$150,000 - $200,000",4,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,4,Other (please describe),both my backyard and town park,5,9,dont know,0,shallow water,1,dont  know,0,1,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Yes, regularly",1,,No,0,Somewhat,1,,1,,Not sure,1,,#N/A,2,4,6,"More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,I do not think it works,I do not think it works,,4 -6 hours,5,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,5,,Hiking,Hiking,Hiking,,,,,,1,,Yes,Yes,Monthly,Monthly or less,,
,,,18 - 35,1,Male,1,2,0,No,Yes,1,1,1,2,1,0,1,3.5,Own,2,"Greater than $250,000",6,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,4,My backyard,,3,7,"West Nile, Zika",1,"Small, still water, from puddles to ponds",1,general mosquito,0,2,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,Yes,1,"Sometimes, if I remember (enter approximately how often, if desired)",0,,No,0,Somewhat,1,"GAT deployment efforts,Block-captain organizing",1,,No,0,,#N/A,3,5,8,"More volunteers to assist residents with mosquito control in their yards,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes,Other (please describe)",Just more awareness and education of what individuals can do to help in their yards.,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,Not enough info,I do not have enough information,Don't know enough about GATs.,More than 8 hours per week,9,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home)","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects ",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,6,,"Hiking,Kayaking, canoeing, or other water sports,Outdoor-focused travel (such as visiting National Parks)","Hiking,Kayaking, canoeing, or other water sports,Outdoor-focused travel ",Hiking,Kayaking,canoeing,or other water sports,Outdoor-focused travel,,5,,Yes,Somewhat,Weekly,Weekly,,
,,,35 - 50,2,Female,2,4,2,Yes,Yes,1,0,3,3,0,0,0,46,Own,2,"$150,000 - $200,000",4,#N/A,Bachelor's Degree,4,Bachelor's degree or less,,"Around town (not in a specific location, but not when I am in my own yard)",,2,2,malaria? west nile?,1,standing water,1,I don't know,0,2,,No,0,Yes,1,"20,192,020",2,2019,2020,,,,Yes,Yes,1,"Yes, regularly",1,,No,0,Somewhat,1,"Print education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing",1,,Yes,2,Yes,2,4,4,8,Town-wide chemical spray,,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,I want my community to be safe,They make being outside unpleasant",4,Time,I do not want to maintain it,I didn't get around to setting it up this year,6- 8 hours,7,"Landscaping (such as lawn mowing),Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Landscaping ,Exercise ,Sitting in an outdoor space, such as a patio or porch",Landscaping,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,,4,,Other outdoor activities (please describe),Other outdoor activities,Other outdoor activities,,,,,,1,"walking, tennis",Yes,Yes,Daily,Daily,,
,,,65+,4,Female,2,2,0,No,No,0,,,0,,,0,13,Own,2,"$150,000 - $200,000",4,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,1,Other (please describe),I'm not outdoors a lot due to disabilities and covid.,2,3,West Nile,1,in small amounts of water,1,Tiger Mosquito,1,3,,Yes,1,Yes,1,"201,820,192,020",3,2018,2019,2020,,,Yes,No,0,"Yes, regularly",1,,Sometimes,#N/A,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,Yes,2,5,5,10,"More town-sponsored distribution of GATs,Other (please describe)","Continued education, especially to reach new residents","I or another member of my household is irritated by mosquito bites,They can spread disease to humans,I want my community to be safe,They make being outside unpleasant",4,NA (I have a GAT),,,2 - 4 hours,3,"Gardening,Exercise (including walks around the neighborhood),Other (please describe)","Gardening,Exercise ,Other ",Gardening,Exercise,Other,,,,,,3,"walking to and from car, also I use my daptive trike for exercise and my scooter to get to Phusical Therapy at Riverdale Park Station","Birding,Outdoor-focused travel (such as visiting National Parks),Other outdoor activities (please describe)","Birding,Outdoor-focused travel ,Other outdoor activities ",Birding,Outdoor-focused travel,Other outdoor activities,,,,3,I used to do all of the above and more but 'i had a stroke in 2014.,Yes,Yes,Daily,Daily,,
,,,65+,4,Female,2,2,0,No,Yes,1,0,2,2,,0,0,30,Own,2,"$50,000 - $100,000",2,"Up to $100,000",Bachelor's Degree,4,Bachelor's degree or less,2,My backyard,,5,7,Not sure.  Don't believe malaria is transmitted by the UP mosquitos.,0,"In water, especially standing water.",1,Think it's the Tiger mosquito.  Don't believe it's the Aedes type.,1,2,,Yes,1,Yes,1,"20,192,020",2,2019,2020,,,,Yes,No,0,"Yes, regularly",1,,Yes,1,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,Yes,2,5,5,10,"Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",4,NA (I have a GAT),,,2 - 4 hours,3,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Home improvement projects (such as painting or renovating the exterior of your home)","Landscaping ,Gardening,Exercise ,Home improvement projects ",Landscaping,Gardening,Exercise,Home improvement projects,,,,,4,,"Hiking,Other outdoor activities (please describe)","Hiking,Other outdoor activities ",Hiking,Other outdoor activities,,,,,2,swimming,Yes,Yes,Weekly,Weekly,,
,,,50 - 65,3,Female,2,2,0,No,Yes,1,2,,2,2,,2,4,Own,2,"Greater than $250,000",6,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,3,My backyard,,3,6,"malaria, West Nile",1,standing water,1,don't know,0,2,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Sometimes, if I remember (enter approximately how often, if desired)",0,,No,0,Somewhat,1,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,Somewhat,1,3,3,6,"Town-wide chemical spray,Battery-powered or active traps,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,"I do not want to maintain it,I have pets that knock it over or damage it",I do not want to maintain it,,6- 8 hours,7,"Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch",Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,,4,,"Hiking,Other outdoor activities (please describe)","Hiking,Other outdoor activities ",Hiking,Other outdoor activities,,,,,2,"running, boating",Yes,Yes,Daily,Daily,,
,,,65+,4,Female,2,2,0,No,No,0,,,0,,,0,43,Own,2,,#N/A,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,3,"Around town (not in a specific location, but not when I am in my own yard)",,3,6,"Potentially, zika or malaria",0,wherever water pools,1,Tiger Mosquito,1,2,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,,#N/A,,No,0,Somewhat,1,"Print education,GAT deployment efforts,Mosquito monitoring",1,,No,0,,#N/A,,4,4,More volunteers to assist residents with mosquito control in their yards,,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They make being outside unpleasant",3,No mosquitoes,I am not bothered by mosquitoes,Mosquitoes not much of a problem in our yard,6- 8 hours,7,"Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Exercise ,Sitting in an outdoor space, such as a patio or porch",Exercise,Sitting in an outdoor space,such as a patio or porch,,,,,,3,,"Hiking,Outdoor-focused travel (such as visiting National Parks)","Hiking,Outdoor-focused travel ",Hiking,Outdoor-focused travel,,,,,2,,Yes,Yes,Weekly,Weekly,,
